SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
32656,2797,1,34,29,1,NA,NA,1307,1,8,0,1,0,0,0,0,0,0,0,0,0
32687,9372,1,35,9,2,NA,NA,475,0,1,0,0,0,0,0,0,0,1,0,0,0
32707,9329,1,45,8,2,NA,NA,1192,0,10,0,0,0,0,0,0,0,0,1,0,0
32782,6530,1,36,3,5,NA,NA,1320,0,3,1,0,0,0,0,0,0,0,0,0,0
32840,11348,1,58,22,3,NA,NA,1508,0,1,0,0,0,0,0,0,0,1,0,0,0
32916,3355,1,35,24,5,NA,NA,1128,0,7,0,0,0,0,0,0,0,0,0,1,0
32989,3524,1,24,13,4,NA,NA,1107,0,5,0,0,0,0,0,0,0,0,0,0,1
33038,9953,1,42,25,3,NA,NA,1592,0,7,0,0,0,0,0,0,0,0,0,1,0
33088,1514,1,21,18,6,NA,NA,1014,0,2,0,0,0,0,0,1,0,0,0,0,0
33101,9763,1,25,16,5,NA,NA,1496,0,4,0,0,0,0,0,0,1,0,0,0,0
33141,7568,1,39,25,4,NA,NA,1645,0,9,0,0,0,0,1,0,0,0,0,0,0
33205,8837,1,54,25,4,NA,NA,1920,0,9,0,0,0,0,1,0,0,0,0,0,0
33224,4611,1,77,28,7,NA,NA,815,1,10,0,0,0,0,0,0,0,0,1,0,0
33259,4560,1,29,20,2,NA,NA,1689,0,2,0,0,0,0,0,1,0,0,0,0,0
33290,5894,1,53,18,2,NA,NA,1318,0,6,0,0,0,1,0,0,0,0,0,0,0
33315,4888,1,62,24,7,NA,NA,1622,1,4,0,0,0,0,0,0,1,0,0,0,0
33322,647,1,30,18,3,NA,NA,2168,0,7,0,0,0,0,0,0,0,0,0,1,0
33388,3490,1,42,15,5,NA,NA,2649,0,1,0,0,0,0,0,0,0,1,0,0,0
33394,4751,1,65,17,2,NA,NA,1792,0,10,0,0,0,0,0,0,0,0,1,0,0
33425,228,1,43,13,4,NA,NA,2244,0,5,0,0,0,0,0,0,0,0,0,0,1
33431,9707,1,54,11,4,NA,NA,1996,0,10,0,0,0,0,0,0,0,0,1,0,0
33446,5916,1,55,26,3,NA,NA,885,0,1,0,0,0,0,0,0,0,1,0,0,0
33491,2096,1,65,22,4,NA,NA,1005,0,9,0,0,0,0,1,0,0,0,0,0,0
33525,331,1,60,20,2,NA,NA,1698,0,2,0,0,0,0,0,1,0,0,0,0,0
33546,4833,1,22,15,3,NA,NA,1879,0,11,0,0,1,0,0,0,0,0,0,0,0
33607,4789,1,42,21,6,NA,NA,1425,0,10,0,0,0,0,0,0,0,0,1,0,0
33610,4712,1,31,15,5,NA,NA,2556,0,1,0,0,0,0,0,0,0,1,0,0,0
33652,173,1,36,18,7,NA,NA,1557,1,9,0,0,0,0,1,0,0,0,0,0,0
33688,11630,1,64,21,3,NA,NA,1595,0,9,0,0,0,0,1,0,0,0,0,0,0
33726,8452,1,77,15,5,NA,NA,1557,0,1,0,0,0,0,0,0,0,1,0,0,0
33738,536,1,32,20,2,NA,NA,654,0,9,0,0,0,0,1,0,0,0,0,0,0
33821,6845,1,80,27,1,NA,NA,3145,1,4,0,0,0,0,0,0,1,0,0,0,0
33861,1217,1,52,26,3,NA,NA,1674,0,1,0,0,0,0,0,0,0,1,0,0,0
33886,11663,1,32,10,3,NA,NA,2043,0,1,0,0,0,0,0,0,0,1,0,0,0
33933,381,1,63,11,4,NA,NA,2676,0,10,0,0,0,0,0,0,0,0,1,0,0
33954,2023,1,50,29,7,NA,NA,1783,1,2,0,0,0,0,0,1,0,0,0,0,0
33997,2806,1,49,19,1,NA,NA,1037,1,9,0,0,0,0,1,0,0,0,0,0,0
34009,4323,1,19,17,5,NA,NA,1041,0,11,0,0,1,0,0,0,0,0,0,0,0
34056,11589,1,48,25,3,NA,NA,1893,0,10,0,0,0,0,0,0,0,0,1,0,0
34061,7050,1,59,12,3,NA,NA,1388,0,1,0,0,0,0,0,0,0,1,0,0,0
34071,7119,1,53,18,6,NA,NA,1833,0,2,0,0,0,0,0,1,0,0,0,0,0
34096,3044,1,62,18,4,NA,NA,1418,0,6,0,0,0,1,0,0,0,0,0,0,0
34126,6211,1,45,6,1,NA,NA,2010,1,3,1,0,0,0,0,0,0,0,0,0,0
