SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
28613,1554,2,38,27,57,166,8.63,7.97,0.342,0,3,0,0,0,0,0,0,0,0,0,0,1
28635,3715,2,25,30,36,323,13.559999999999999,7.98,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28667,4657,2,35,25,1448,160,10.45,8.860000000000001,3.99,0,5,0,0,0,0,0,0,0,0,1,0,0
28731,9333,2,20,20,59,211,13.38,10.35,0.963,0,9,0,0,0,0,1,0,0,0,0,0,0
28734,11760,2,35,28,2,95,5.83,3.6,0,0,4,0,0,1,0,0,0,0,0,0,0,0
28739,199,2,48,12,1235,134,10.26,6.5299999999999985,0,0,4,0,0,1,0,0,0,0,0,0,0,0
28744,10248,2,48,15,1592,158,27.200000000000003,6.819999999999999,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28760,10998,2,29,16,443,79,12.74,6.219999999999999,0,0,11,0,0,0,0,0,0,0,1,0,0,0
28764,1278,2,55,4,5218,163,16.14,7.14,0,0,10,0,0,0,1,0,0,0,0,0,0,0
28777,2757,2,32,24,1,70,5.38,5.199999999999999,2,0,6,0,0,0,0,0,0,1,0,0,0,0
28781,9333,2,23,20,59,213,13.43,10.419999999999998,1.17,0,9,0,0,0,0,1,0,0,0,0,0,0
28804,751,2,30,10,133,201,14.74,7.76,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28809,6129,2,40,19,113,151,7.03,5.830000000000002,0,0,11,0,0,0,0,0,0,0,1,0,0,0
28825,3681,2,33,10,85,218,10.79,8.17,0,0,5,0,0,0,0,0,0,0,0,1,0,0
28840,2771,2,36,26,74,116,7.370000000000002,2.91,2.521,0,8,0,0,0,0,0,0,0,0,0,1,0
28874,11557,2,50,20,84,172,12.089999999999996,6.779999999999999,0,0,9,0,0,0,0,1,0,0,0,0,0,0
28902,2675,2,19,10,1150,149,6.91,6.53,0,0,5,0,0,0,0,0,0,0,0,1,0,0
28915,9405,2,36,22,190,223,10.999999999999998,6.32,0,0,2,0,0,0,0,0,1,0,0,0,0,0
28945,6107,2,65,19,1647,84,9.8,5.77,0,0,7,0,1,0,0,0,0,0,0,0,0,0
28949,11704,2,43,12,18,150,8.74,7.759999999999999,0,0,5,0,0,0,0,0,0,0,0,1,0,0
28951,4566,2,39,18,51,128,7.0200000000000005,6.500000000000001,0,0,8,0,0,0,0,0,0,0,0,0,1,0
28954,804,2,47,15,24,168,16.6,8.839999999999998,2.955,0,1,1,0,0,0,0,0,0,0,0,0,0
29007,106,2,26,24,81,253,17.619999999999997,12.090000000000002,2.4659999999999997,0,6,0,0,0,0,0,0,1,0,0,0,0
29095,8888,2,32,17,76,190,9.69,8.82,0,0,4,0,0,1,0,0,0,0,0,0,0,0
29148,6675,2,35,23,52,173,11.57,7.739999999999999,0,0,2,0,0,0,0,0,1,0,0,0,0,0
29168,4043,2,45,26,68,227,13,8.339999999999998,0,0,5,0,0,0,0,0,0,0,0,1,0,0
29208,2067,2,52,21,146,1121,12,8.2,2.7399999999999998,0,5,0,0,0,0,0,0,0,0,1,0,0
29225,2910,2,35,28,147,178,16.16,9.65,0,0,8,0,0,0,0,0,0,0,0,0,1,0
29228,678,2,70,9,56,84,3.71,3.91,0,0,3,0,0,0,0,0,0,0,0,0,0,1
29266,1249,2,65,27,99,136,11.22,5.789999999999999,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29306,11284,2,34,14,41,154,9.299999999999997,8.479999999999999,0,0,5,0,0,0,0,0,0,0,0,1,0,0
29319,7828,2,48,20,1022,141,24.509999999999998,7.449999999999999,0,0,8,0,0,0,0,0,0,0,0,0,1,0
29327,2371,2,22,29,70,206,6.679999999999999,6.339999999999999,5.35,0,3,0,0,0,0,0,0,0,0,0,0,1
29362,8709,2,53,26,62,154,9.32,8.66,0,0,8,0,0,0,0,0,0,0,0,0,1,0
29369,4810,2,29,23,160,183,9.4,7.829999999999999,0,0,2,0,0,0,0,0,1,0,0,0,0,0
29413,7569,2,21,23,1349,152,22.39,7.970000000000001,0,0,6,0,0,0,0,0,0,1,0,0,0,0
29421,2826,2,70,21,1199,111,22.43,6.050000000000001,0,0,7,0,1,0,0,0,0,0,0,0,0,0
29441,1170,2,40,27,93,134,9.839999999999998,7.849999999999999,0,0,5,0,0,0,0,0,0,0,0,1,0,0
29468,11865,2,28,27,30,201,15.969999999999999,11.88,0,0,3,0,0,0,0,0,0,0,0,0,0,1
29471,2522,2,40,19,66,225,10.83,7.59,0,0,11,0,0,0,0,0,0,0,1,0,0,0
29509,16,2,21,22,70,193,17.95,8.030000000000001,12,0,8,0,0,0,0,0,0,0,0,0,1,0
29527,6195,2,38,2,34,143,10.290000000000001,8.53,0.684,0,1,1,0,0,0,0,0,0,0,0,0,0
29532,7471,2,20,6,141,166,8.729999999999999,7.6,0,0,2,0,0,0,0,0,1,0,0,0,0,0
