SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
35522,5521,2,52,21,30,241,22.439999999999998,11.129999999999997,NA,0,1,0,0,0,0,0,1,0,0,0,0
35543,2438,2,26,30,73,345,25.14,13.129999999999999,NA,0,8,0,0,0,0,0,0,0,1,0,0
35559,3202,2,22,4,13,134,15.780000000000001,8.11,NA,0,1,0,0,0,0,0,1,0,0,0,0
35596,797,2,45,27,3174,229,18.679999999999996,6.7299999999999995,NA,0,5,0,0,1,0,0,0,0,0,0,0
35599,8531,2,28,3,52,215,18.47,10.149999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
35605,11263,2,25,22,297,161,18.59,10.2,NA,0,2,0,0,0,0,0,0,0,0,1,0
35626,1725,2,40,3,1037,223,18.560000000000002,7.56,NA,0,5,0,0,1,0,0,0,0,0,0,0
35646,481,2,18,20,6,39,1.56,0.8200000000000001,NA,0,2,0,0,0,0,0,0,0,0,1,0
35648,4364,2,30,24,173,161,10.239999999999998,6.8,NA,0,7,1,0,0,0,0,0,0,0,0,0
35658,2497,2,25,8,19,112,8.379999999999999,5.209999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
35675,2202,2,27,25,12,189,17.700000000000003,12.569999999999999,NA,0,1,0,0,0,0,0,1,0,0,0,0
35678,610,2,65,7,13,132,12.760000000000002,7.91,NA,1,6,0,0,0,0,1,0,0,0,0,0
35696,2460,2,40,30,26,160,9.86,5.33,NA,0,5,0,0,1,0,0,0,0,0,0,0
35701,4057,2,48,27,21,128,9.73,6.25,NA,0,1,0,0,0,0,0,1,0,0,0,0
35721,3835,2,30,22,11,153,12.740000000000002,6.500000000000001,NA,0,9,0,1,0,0,0,0,0,0,0,0
35723,9724,2,62,23,20,109,9.67,5.479999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
35727,1511,2,57,29,324,99,8.61,4.9799999999999995,NA,0,5,0,0,1,0,0,0,0,0,0,0
35751,87,2,21,17,970,204,19.030000000000005,10.199999999999998,NA,0,9,0,1,0,0,0,0,0,0,0,0
35762,1823,2,32,20,10,85,6.45,5.000000000000001,NA,0,2,0,0,0,0,0,0,0,0,1,0
35795,10618,2,25,3,70,95,8.549999999999999,5.13,NA,0,2,0,0,0,0,0,0,0,0,1,0
35798,1073,2,22,15,8,58,10.3,6.56,NA,0,10,0,0,0,0,0,0,0,0,0,1
35805,10401,2,21,6,192,205,17.15,8.69,NA,0,5,0,0,1,0,0,0,0,0,0,0
35821,6436,2,30,2,19,140,8.78,6.349999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
35859,6559,2,60,20,48,123,13.5,9.17,NA,0,4,0,0,0,1,0,0,0,0,0,0
35902,2160,2,18,29,36,270,23.789999999999996,13.469999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
35907,9514,2,65,7,19,116,12.500000000000002,8.399999999999999,NA,1,1,0,0,0,0,0,1,0,0,0,0
35938,10351,2,26,23,1,76,5.37,3.63,NA,0,6,0,0,0,0,1,0,0,0,0,0
35959,3211,2,50,11,12,106,7.96,9.379999999999999,NA,0,10,0,0,0,0,0,0,0,0,0,1
35964,6908,2,45,2,31,178,14.36,7.409999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
35995,8511,2,35,24,1365,262,24.21,12.63,NA,0,1,0,0,0,0,0,1,0,0,0,0
36036,2214,2,25,1,416,364,12.669999999999998,7.3999999999999995,NA,1,2,0,0,0,0,0,0,0,0,1,0
36092,5567,2,55,16,5,57,6.1,4.9399999999999995,NA,0,7,1,0,0,0,0,0,0,0,0,0
36109,4006,2,21,4,13,160,9.290000000000001,5,NA,0,6,0,0,0,0,1,0,0,0,0,0
36138,1074,2,23,9,25,94,15.009999999999998,9.469999999999995,NA,0,10,0,0,0,0,0,0,0,0,0,1
36154,8661,2,60,21,19,169,13.600000000000001,7.12,NA,0,9,0,1,0,0,0,0,0,0,0,0
36186,2668,2,26,17,199,115,5.769999999999999,5.01,NA,0,2,0,0,0,0,0,0,0,0,1,0
36192,5921,2,70,4,15,30,2.2,1.76,NA,0,9,0,1,0,0,0,0,0,0,0,0
36202,706,2,40,28,28,200,22.61,10.95,NA,0,1,0,0,0,0,0,1,0,0,0,0
36206,6265,2,27,22,14,272,15.29,7.469999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
